---, 0, 0, 1f:0e:12:df:e4:32, , -93, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -74, 
---, 0, 0, 2b:ff:d9:83:d0:13, , -100, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
---, 0, 0, 5a:d4:3e:82:93:40, , -90, 12
---, 0, 0, 7a:61:95:0e:8b:3e, , -92, 11
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 16:46:56, -15826378, -47987165, d8:9c:e1:41:cf:8e, , -96, 
19/07/2026 16:46:57, -15826377, -47987166, e5:f7:25:88:fb:0e, , -98, 
19/07/2026 16:46:58, -15826377, -47987167, ef:18:1a:e8:7d:4c, , -84, 
19/07/2026 16:47:00, -15826377, -47987167, d4:05:d8:f6:d4:a9, , -97, 
19/07/2026 16:47:04, -15826382, -47987168, 03:5b:a8:c6:1e:4b, , -100, 
19/07/2026 16:47:16, -15826401, -47987181, 23:ec:54:f3:34:2d, , -97, 
---, 0, 0, 04:e4:b6:fc:42:ca, , -74, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -80, 
---, 0, 0, 20:4b:fa:13:79:39, , -92, 
---, 0, 0, c2:5f:94:cc:bd:4c, , -94, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -85, 
19/07/2026 17:06:09, -15826392, -47987176, db:8c:36:7e:ce:a2, , -91, 
19/07/2026 17:06:09, -15826392, -47987176, ef:2d:d7:a6:72:75, , -100, 
19/07/2026 17:06:12, -15826388, -47987176, 5e:35:8f:f1:4c:0e, , -90, 11
19/07/2026 17:06:15, -15826384, -47987180, 45:eb:5e:3a:e2:62, , -91, 12
19/07/2026 17:10:06, -15826409, -47987154, 04:e4:b6:fc:42:ca, , -71, 
19/07/2026 17:10:06, -15826409, -47987154, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -65, 
19/07/2026 17:10:09, -15826409, -47987154, 20:4b:fa:13:79:39, , -82, 
19/07/2026 17:10:11, -15826409, -47987154, c2:5f:94:cc:bd:4c, , -85, 
19/07/2026 17:10:19, -15826406, -47987155, 45:eb:5e:3a:e2:62, , -95, 12
19/07/2026 17:10:23, -15826405, -47987155, cb:28:15:79:72:90, , -86, 
19/07/2026 17:10:24, -15826405, -47987155, 5e:35:8f:f1:4c:0e, , -94, 11
19/07/2026 17:10:29, -15826406, -47987152, 6d:12:b9:06:07:26, , -97, 8
19/07/2026 17:10:32, -15826405, -47987151, db:8c:36:7e:ce:a2, , -93, 
19/07/2026 17:10:34, -15826404, -47987152, 69:79:60:ea:6d:ed, , -99, 12
19/07/2026 17:10:36, -15826405, -47987152, 2a:32:a9:80:8c:4c, , -97, 
