20/07/2026 10:36:57, -15838412, -47977215, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:36:57, -15838412, -47977215, SEEDF - Visitantes, -73, 11, open
20/07/2026 10:36:57, -15838412, -47977215, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:36:57, -15838412, -47977215, Recover.Me-12DF10, -82, 1, WPA2
20/07/2026 10:37:03, -15838459, -47976845, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:37:17, -15838549, -47976860, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:37:17, -15838549, -47976860, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:37:17, -15838549, -47976860, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:37:17, -15838549, -47976860, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:37:17, -15838549, -47976860, DIRECT-9E-EPSON-582BA0, -83, 1, WPA2
20/07/2026 10:37:17, -15838549, -47976860, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:37:24, -15838599, -47977157, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:37:24, -15838599, -47977157, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:37:24, -15838599, -47977157, DIRECAO, -76, 11, WPA+WPA2
20/07/2026 10:37:24, -15838599, -47977157, Recover.Me-12DF10, -83, 1, WPA2
20/07/2026 10:37:24, -15838599, -47977157, DIRECT-9E-EPSON-582BA0, -83, 1, WPA2
20/07/2026 10:37:24, -15838599, -47977157, LAB02, -83, 11, WPA+WPA2
20/07/2026 10:37:24, -15838599, -47977157, AP 407 INTELBRAS_2G, -93, 3, WPA+WPA2
20/07/2026 10:37:24, -15838599, -47977157, Maria_Luiza, -95, 6, WPA2
20/07/2026 10:37:33, -15838724, -47977555, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:37:33, -15838724, -47977555, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:37:33, -15838724, -47977555, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:37:33, -15838724, -47977555, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:37:33, -15838724, -47977555, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:37:33, -15838724, -47977555, DIRECT-9E-EPSON-582BA0, -84, 1, WPA2
20/07/2026 10:37:38, -15838785, -47977427, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:37:38, -15838785, -47977427, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:37:38, -15838785, -47977427, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:37:38, -15838785, -47977427, Recover.Me-12DF10, -83, 1, WPA2
20/07/2026 10:37:38, -15838785, -47977427, LAB02, -83, 11, WPA+WPA2
20/07/2026 10:37:42, -15838342, -47976721, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:37:42, -15838342, -47976721, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:37:42, -15838342, -47976721, DIRECAO, -78, 11, WPA+WPA2
20/07/2026 10:37:42, -15838342, -47976721, Recover.Me-12DF10, -83, 1, WPA2
20/07/2026 10:37:42, -15838342, -47976721, LAB02, -83, 11, WPA+WPA2
20/07/2026 10:37:42, -15838342, -47976721, DIRECT-9E-EPSON-582BA0, -84, 1, WPA2
20/07/2026 10:37:47, -15837976, -47975982, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:37:47, -15837976, -47975982, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:37:47, -15837976, -47975982, DIRECAO, -78, 11, WPA+WPA2
20/07/2026 10:37:47, -15837976, -47975982, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:37:47, -15837976, -47975982, DIRECT-9E-EPSON-582BA0, -83, 1, WPA2
20/07/2026 10:37:47, -15837976, -47975982, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:37:51, -15837811, -47975673, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:37:51, -15837811, -47975673, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:37:51, -15837811, -47975673, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:37:51, -15837811, -47975673, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:37:51, -15837811, -47975673, Recover.Me-12DF10, -83, 1, WPA2
20/07/2026 10:37:51, -15837811, -47975673, AP 407 INTELBRAS_2G, -94, 3, WPA+WPA2
20/07/2026 10:37:55, -15837603, -47975450, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:37:55, -15837603, -47975450, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:37:55, -15837603, -47975450, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:37:55, -15837603, -47975450, LAB02, -80, 11, WPA+WPA2
20/07/2026 10:37:55, -15837603, -47975450, Maria_Luiza, -92, 6, WPA2
20/07/2026 10:38:00, -15837304, -47975179, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:38:00, -15837304, -47975179, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:38:00, -15837304, -47975179, DIRECAO, -78, 11, WPA+WPA2
20/07/2026 10:38:00, -15837304, -47975179, LAB02, -80, 11, WPA+WPA2
20/07/2026 10:38:00, -15837304, -47975179, AP 407 INTELBRAS_2G, -94, 3, WPA+WPA2
20/07/2026 10:38:10, -15836803, -47974447, GDFNet - Corporativo, -74, 11, WPA2-EAP
20/07/2026 10:38:10, -15836803, -47974447, SEEDF - Visitantes, -74, 11, open
20/07/2026 10:38:10, -15836803, -47974447, DIRECAO, -78, 11, WPA+WPA2
20/07/2026 10:38:10, -15836803, -47974447, LAB02, -83, 11, WPA+WPA2
20/07/2026 10:38:10, -15836803, -47974447, Recover.Me-12DF10, -85, 1, WPA2
20/07/2026 10:38:10, -15836803, -47974447, AP 407 INTELBRAS_2G, -91, 3, WPA+WPA2
20/07/2026 10:38:20, -15835989, -47973433, GDFNet - Corporativo, -72, 11, WPA2-EAP
20/07/2026 10:38:20, -15835989, -47973433, SEEDF - Visitantes, -73, 11, open
20/07/2026 10:38:20, -15835989, -47973433, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:38:20, -15835989, -47973433, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:38:20, -15835989, -47973433, DIRECT-9E-EPSON-582BA0, -83, 1, WPA2
20/07/2026 10:38:20, -15835989, -47973433, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:38:20, -15835989, -47973433, AP 407 INTELBRAS_2G, -92, 3, WPA+WPA2
20/07/2026 10:38:20, -15835989, -47973433, Maria_Luiza, -94, 6, WPA2
20/07/2026 10:38:28, -15836016, -47973332, SEEDF - Visitantes, -72, 11, open
20/07/2026 10:38:28, -15836016, -47973332, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:38:28, -15836016, -47973332, DIRECAO, -78, 11, WPA+WPA2
20/07/2026 10:38:28, -15836016, -47973332, LAB02, -81, 11, WPA+WPA2
20/07/2026 10:38:28, -15836016, -47973332, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:38:28, -15836016, -47973332, DIRECT-9E-EPSON-582BA0, -84, 1, WPA2
20/07/2026 10:38:28, -15836016, -47973332, AP 407 INTELBRAS_2G, -96, 3, WPA+WPA2
20/07/2026 10:38:33, -15837066, -47974443, GDFNet - Corporativo, -72, 11, WPA2-EAP
20/07/2026 10:38:33, -15837066, -47974443, SEEDF - Visitantes, -72, 11, open
20/07/2026 10:38:33, -15837066, -47974443, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:38:33, -15837066, -47974443, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:38:33, -15837066, -47974443, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:38:33, -15837066, -47974443, AP 407 INTELBRAS_2G, -94, 3, WPA+WPA2
20/07/2026 10:38:37, -15836968, -47974203, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:38:37, -15836968, -47974203, SEEDF - Visitantes, -73, 11, open
20/07/2026 10:38:37, -15836968, -47974203, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:38:37, -15836968, -47974203, LAB02, -83, 11, WPA+WPA2
20/07/2026 10:38:37, -15836968, -47974203, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:38:48, -15837416, -47974803, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:38:48, -15837416, -47974803, Maria_Luiza, -94, 6, WPA2
20/07/2026 10:38:52, -15837616, -47975355, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:38:52, -15837616, -47975355, SEEDF - Visitantes, -73, 11, open
20/07/2026 10:38:52, -15837616, -47975355, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:38:52, -15837616, -47975355, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:38:52, -15837616, -47975355, Recover.Me-12DF10, -83, 1, WPA2
20/07/2026 10:38:56, -15837848, -47975661, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:38:56, -15837848, -47975661, SEEDF - Visitantes, -73, 11, open
20/07/2026 10:38:56, -15837848, -47975661, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:38:56, -15837848, -47975661, LAB02, -81, 11, WPA+WPA2
20/07/2026 10:38:56, -15837848, -47975661, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:39:01, -15838010, -47975882, SEEDF - Visitantes, -72, 11, open
20/07/2026 10:39:01, -15838010, -47975882, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:39:01, -15838010, -47975882, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:39:01, -15838010, -47975882, LAB02, -83, 11, WPA+WPA2
20/07/2026 10:39:01, -15838010, -47975882, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:39:01, -15838010, -47975882, DIRECT-9E-EPSON-582BA0, -84, 1, WPA2
20/07/2026 10:39:01, -15838010, -47975882, Maria_Luiza, -94, 6, WPA2
20/07/2026 10:39:05, -15838075, -47975995, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:39:05, -15838075, -47975995, SEEDF - Visitantes, -73, 11, open
20/07/2026 10:39:05, -15838075, -47975995, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:39:05, -15838075, -47975995, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:39:05, -15838075, -47975995, Recover.Me-12DF10, -83, 1, WPA2
20/07/2026 10:39:09, -15838101, -47976045, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:39:09, -15838101, -47976045, SEEDF - Visitantes, -73, 11, open
20/07/2026 10:39:09, -15838101, -47976045, DIRECAO, -78, 11, WPA+WPA2
20/07/2026 10:39:09, -15838101, -47976045, LAB02, -82, 11, WPA+WPA2
20/07/2026 10:39:09, -15838101, -47976045, DIRECT-9E-EPSON-582BA0, -84, 1, WPA2
20/07/2026 10:39:09, -15838101, -47976045 Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:39:12, -15838090, -47976046, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:39:16, -15838087, -47975944, Recover.Me-12DF10, -84, 1, WPA2
20/07/2026 10:39:20, -15838091, -47975725, GDFNet - Corporativo, -73, 11, WPA2-EAP
20/07/2026 10:39:20, -15838091, -47975725, SEEDF - Visitantes, -73, 11, open
20/07/2026 10:39:20, -15838091, -47975725, DIRECAO, -77, 11, WPA+WPA2
20/07/2026 10:39:20, -15838091, -47975725, DIRECT-9E-EPSON-582BA0, -82, 1, WPA2
